xx,yy,zz,label,correlation
12.3271,23.1532,-16.3408,Stroke,0.681737167
12.8534,27.3184,-12.0829,Stroke,0.729840333
14.3891,33.2862,-7.02115,Stroke,0.718927278
21.19,35.8092,-1.20131,Stroke,0.718580389
11.8092,32.658,-12.0005,Stroke,0.736188167
19.7076,40.7698,3.32541,Stroke,0.733808222
23.1995,35.3373,7.75627,Stroke,0.7325835
22.8581,38.1193,7.18485,Stroke,0.732148222
21.2943,40.968,7.89423,Stroke,0.743950667
26.2241,37.6211,12.4652,Stroke,0.751296556
28.8116,33.4798,12.0987,Stroke,0.744058111
24.178,37.2846,8.75052,Stroke,0.737810667
29.2151,36.8393,14.1088,Stroke,0.738917278
28.1833,36.4313,12.6115,Stroke,0.765317444
28.7869,35.915,12.2292,Stroke,0.759239444
26.2343,36.9453,12.3565,Stroke,0.742777278
28.1712,34.6937,13.2816,Stroke,0.769706889
28.9978,35.9257,15.1576,Stroke,0.7600255
29.8126,35.9455,13.8258,Stroke,0.763437722
29.5107,33.5948,13.9892,Stroke,0.761257611
29.51,34.459,13.2888,Stroke,0.768476833
30.3978,33.3989,14.9067,Stroke,0.766162889
31.6984,31.0196,13.929,Stroke,0.754501889
28.4252,36.3148,12.2175,Stroke,0.743583167
30.3635,32.5248,15.4389,Stroke,0.777747722
33.9123,26.3968,15.3542,Stroke,0.789814611
33.6683,26.8581,15.0862,Stroke,0.796165
31.1472,31.8066,13.8093,Stroke,0.743122222
32.1521,29.3891,15.3422,Stroke,0.755915389
33.1903,27.6413,15.7548,Stroke,0.786921167
27.8888,37.1834,11.77,Stroke,0.758797444
26.8964,36.6791,12.2866,Stroke,0.762535667
28.9684,34.4904,13.2685,Stroke,0.7580975
28.9618,37.8194,11.8148,Stroke,0.742239
29.0144,38.5676,13.954,Stroke,0.733522611
29.6663,33.0649,13.0543,Stroke,0.777095833
29.3235,34.8379,15.4341,Stroke,0.761026833
30.1871,33.3393,14.2018,Stroke,0.776836
29.7352,31.9938,13.706,Stroke,0.754189222
30.1535,37.2084,16.8015,Stroke,0.745885944
30.962,32.1208,16.0968,Stroke,0.793245278
30.1483,31.6701,15.0811,Stroke,0.782032222
27.6965,35.5779,12.8693,Stroke,0.760775389
27.5186,35.0583,12.4876,Stroke,0.773645944
31.2273,36.6901,15.6601,Stroke,0.763676111
29.4522,37.3897,15.0096,Stroke,0.7482235
